CONTROLLED 2944 squad:Penitent:Butcher {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 64} 72.5s
CONTROLLED 2976 squad:Penitent:Vulture {'battles': 32, 'wins': 18, 'losses': 14, 'draws': 0, 'round_cap': 0, 'phases': 108} 74.2s
CONTROLLED 3008 squad:Penitent:Wright {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 192} 78.2s
CONTROLLED 3040 squad:Butcher:Vulture {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 64} 79.4s
CONTROLLED 3072 squad:Butcher:Wright {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 128} 81.8s
CONTROLLED 3104 squad:Vulture:Wright {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 192} 84.7s
CONTROLLED 3136 addition:Lemek:shock_low:with {'battles': 16, 'wins': 10, 'losses': 6, 'draws': 0, 'round_cap': 0, 'phases': 58} 88.6s
CONTROLLED 3168 addition:Lemek:shock_low:with {'battles': 32, 'wins': 20, 'losses': 12, 'draws': 0, 'round_cap': 0, 'phases': 118} 91.8s
CONTROLLED 3200 addition:Lemek:shock_high:with {'battles': 16, 'wins': 0, 'losses': 16, 'draws': 0, 'round_cap': 0, 'phases': 48} 95.9s
CONTROLLED 3232 addition:Lemek:shock_high:with {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 98} 99.7s
CONTROLLED 3264 addition:Lemek:screen_low:with {'battles': 16, 'wins': 12, 'losses': 4, 'draws': 0, 'round_cap': 0, 'phases': 80} 104.5s
CONTROLLED 3296 addition:Lemek:screen_low:with {'battles': 32, 'wins': 26, 'losses': 6, 'draws': 0, 'round_cap': 0, 'phases': 158} 108.7s
CONTROLLED 3328 addition:Lemek:screen_high:with {'battles': 16, 'wins': 0, 'losses': 16, 'draws': 0, 'round_cap': 0, 'phases': 78} 116.1s
CONTROLLED 3360 addition:Lemek:screen_high:with {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 156} 122.6s
CONTROLLED 3392 addition:Lemek:mixed_low:with {'battles': 16, 'wins': 16, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 86} 127.3s
CONTROLLED 3424 addition:Lemek:mixed_low:with {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 170} 131.4s
CONTROLLED 3456 addition:Lemek:mixed_high:with {'battles': 16, 'wins': 0, 'losses': 16, 'draws': 0, 'round_cap': 0, 'phases': 78} 146.9s
CONTROLLED 3488 addition:Lemek:mixed_high:with {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 158} 149.2s
CONTROLLED 3520 addition:Varn:shock_low:with {'battles': 16, 'wins': 16, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 48} 150.9s
CONTROLLED 3552 addition:Varn:shock_low:with {'battles': 32, 'wins': 28, 'losses': 4, 'draws': 0, 'round_cap': 0, 'phases': 96} 154.3s
CONTROLLED 3584 addition:Varn:shock_high:with {'battles': 16, 'wins': 6, 'losses': 10, 'draws': 0, 'round_cap': 0, 'phases': 48} 158.4s
CONTROLLED 3616 addition:Varn:shock_high:with {'battles': 32, 'wins': 12, 'losses': 20, 'draws': 0, 'round_cap': 0, 'phases': 96} 162.2s
CONTROLLED 3648 addition:Varn:screen_low:with {'battles': 16, 'wins': 12, 'losses': 4, 'draws': 0, 'round_cap': 0, 'phases': 76} 166.5s
CONTROLLED 3680 addition:Varn:screen_low:with {'battles': 32, 'wins': 20, 'losses': 12, 'draws': 0, 'round_cap': 0, 'phases': 148} 171.2s
CONTROLLED 3712 addition:Varn:screen_high:with {'battles': 16, 'wins': 0, 'losses': 16, 'draws': 0, 'round_cap': 0, 'phases': 66} 177.6s
CONTROLLED 3744 addition:Varn:screen_high:with {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 132} 183.7s
CONTROLLED 3776 addition:Varn:mixed_low:with {'battles': 16, 'wins': 16, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 66} 187.5s
CONTROLLED 3808 addition:Varn:mixed_low:with {'battles': 32, 'wins': 28, 'losses': 4, 'draws': 0, 'round_cap': 0, 'phases': 134} 191.3s
CONTROLLED 3840 addition:Varn:mixed_high:with {'battles': 16, 'wins': 0, 'losses': 16, 'draws': 0, 'round_cap': 0, 'phases': 86} 209.8s
CONTROLLED 3872 addition:Varn:mixed_high:with {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 168} 210.3s
CONTROLLED 3904 addition:Fyra:shock_low:with {'battles': 16, 'wins': 16, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 42} 212.1s
CONTROLLED 3936 addition:Fyra:shock_low:with {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 86} 214.9s
CONTROLLED 3968 addition:Fyra:shock_high:with {'battles': 16, 'wins': 12, 'losses': 4, 'draws': 0, 'round_cap': 0, 'phases': 48} 218.4s
CONTROLLED 4000 addition:Fyra:shock_high:with {'battles': 32, 'wins': 24, 'losses': 8, 'draws': 0, 'round_cap': 0, 'phases': 96} 221.9s
CONTROLLED 4032 addition:Fyra:screen_low:with {'battles': 16, 'wins': 16, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 62} 226.6s
CONTROLLED 4064 addition:Fyra:screen_low:with {'battles': 32, 'wins': 28, 'losses': 4, 'draws': 0, 'round_cap': 0, 'phases': 132} 230.8s
CONTROLLED 4096 addition:Fyra:screen_high:with {'battles': 16, 'wins': 0, 'losses': 16, 'draws': 0, 'round_cap': 0, 'phases': 80} 236.9s
CONTROLLED 4128 addition:Fyra:screen_high:with {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 156} 243.4s
CONTROLLED 4160 addition:Fyra:mixed_low:with {'battles': 16, 'wins': 16, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 70} 247.5s
CONTROLLED 4192 addition:Fyra:mixed_low:with {'battles': 32, 'wins': 28, 'losses': 4, 'draws': 0, 'round_cap': 0, 'phases': 146} 251.5s
CONTROLLED 4224 addition:Fyra:mixed_high:with {'battles': 16, 'wins': 0, 'losses': 16, 'draws': 0, 'round_cap': 0, 'phases': 84} 270.4s
CONTROLLED 4256 addition:Fyra:mixed_high:with {'battles': 32, 'wins': 4, 'losses': 28, 'draws': 0, 'round_cap': 0, 'phases': 174} 270.4s
CONTROLLED 4288 addition:Kopita:shock_low:with {'battles': 16, 'wins': 10, 'losses': 6, 'draws': 0, 'round_cap': 0, 'phases': 56} 273.7s
CONTROLLED 4320 addition:Kopita:shock_low:with {'battles': 32, 'wins': 14, 'losses': 18, 'draws': 0, 'round_cap': 0, 'phases': 120} 277.6s
CONTROLLED 4352 addition:Kopita:shock_high:with {'battles': 16, 'wins': 0, 'losses': 16, 'draws': 0, 'round_cap': 0, 'phases': 66} 282.5s
CONTROLLED 4384 addition:Kopita:shock_high:with {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 128} 287.3s
CONTROLLED 4416 addition:Kopita:screen_low:with {'battles': 16, 'wins': 16, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 68} 292.5s
CONTROLLED 4448 addition:Kopita:screen_low:with {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 140} 297.6s
CONTROLLED 4480 addition:Kopita:screen_high:with {'battles': 16, 'wins': 2, 'losses': 14, 'draws': 0, 'round_cap': 0, 'phases': 88} 305.0s
CONTROLLED 4512 addition:Kopita:screen_high:with {'battles': 32, 'wins': 2, 'losses': 30, 'draws': 0, 'round_cap': 0, 'phases': 168} 312.6s
CONTROLLED 4544 addition:Kopita:mixed_low:with {'battles': 16, 'wins': 16, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 80} 317.4s
CONTROLLED 4576 addition:Kopita:mixed_low:with {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 158} 322.7s
CONTROLLED 4608 addition:Kopita:mixed_high:with {'battles': 16, 'wins': 0, 'losses': 16, 'draws': 0, 'round_cap': 0, 'phases': 94} 343.3s
CONTROLLED 4640 addition:Kopita:mixed_high:with {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 186} 345.5s
CONTROLLED 4672 addition:Tumler:shock_low:with {'battles': 16, 'wins': 16, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 40} 346.3s
CONTROLLED 4704 addition:Tumler:shock_low:with {'battles': 32, 'wins': 30, 'losses': 2, 'draws': 0, 'round_cap': 0, 'phases': 84} 349.5s
CONTROLLED 4736 addition:Tumler:shock_high:with {'battles': 16, 'wins': 6, 'losses': 10, 'draws': 0, 'round_cap': 0, 'phases': 58} 353.1s
CONTROLLED 4768 addition:Tumler:shock_high:with {'battles': 32, 'wins': 18, 'losses': 14, 'draws': 0, 'round_cap': 0, 'phases': 108} 357.4s
CONTROLLED 4800 addition:Tumler:screen_low:with {'battles': 16, 'wins': 16, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 68} 362.1s
CONTROLLED 4832 addition:Tumler:screen_low:with {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 134} 366.9s
CONTROLLED 4864 addition:Tumler:screen_high:with {'battles': 16, 'wins': 0, 'losses': 16, 'draws': 0, 'round_cap': 0, 'phases': 84} 373.6s
CONTROLLED 4896 addition:Tumler:screen_high:with {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 166} 381.1s
CONTROLLED 4928 addition:Tumler:mixed_low:with {'battles': 16, 'wins': 16, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 64} 386.3s
CONTROLLED 4960 addition:Tumler:mixed_low:with {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 128} 391.0s
CONTROLLED 4992 addition:Tumler:mixed_high:with {'battles': 16, 'wins': 0, 'losses': 16, 'draws': 0, 'round_cap': 0, 'phases': 82} 407.6s
CONTROLLED 5024 addition:Tumler:mixed_high:with {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 168} 411.3s
CONTROLLED 5056 addition:Kurchin:shock_low:with {'battles': 16, 'wins': 16, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 48} 413.6s
CONTROLLED 5088 addition:Kurchin:shock_low:with {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 96} 417.9s
CONTROLLED 5120 addition:Kurchin:shock_high:with {'battles': 16, 'wins': 16, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 56} 423.4s
CONTROLLED 5152 addition:Kurchin:shock_high:with {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 114} 430.1s
CONTROLLED 5184 addition:Kurchin:screen_low:with {'battles': 16, 'wins': 16, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 66} 436.7s
CONTROLLED 5216 addition:Kurchin:screen_low:with {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 130} 442.5s
CONTROLLED 5248 addition:Kurchin:screen_high:with {'battles': 16, 'wins': 14, 'losses': 2, 'draws': 0, 'round_cap': 0, 'phases': 92} 452.2s
CONTROLLED 5280 addition:Kurchin:screen_high:with {'battles': 32, 'wins': 26, 'losses': 6, 'draws': 0, 'round_cap': 0, 'phases': 188} 461.3s
CONTROLLED 5312 addition:Kurchin:mixed_low:with {'battles': 16, 'wins': 16, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 76} 465.4s
CONTROLLED 5344 addition:Kurchin:mixed_low:with {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 156} 471.9s
CONTROLLED 5376 addition:Kurchin:mixed_high:with {'battles': 16, 'wins': 16, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 96} 486.6s
CONTROLLED 5408 addition:Kurchin:mixed_high:with {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 196} 492.7s
CONTROLLED 5440 addition:Muno:shock_low:with {'battles': 16, 'wins': 10, 'losses': 6, 'draws': 0, 'round_cap': 0, 'phases': 54} 493.6s
CONTROLLED 5472 addition:Muno:shock_low:with {'battles': 32, 'wins': 22, 'losses': 10, 'draws': 0, 'round_cap': 0, 'phases': 106} 496.6s
CONTROLLED 5504 addition:Muno:shock_high:with {'battles': 16, 'wins': 4, 'losses': 12, 'draws': 0, 'round_cap': 0, 'phases': 60} 500.7s
CONTROLLED 5536 addition:Muno:shock_high:with {'battles': 32, 'wins': 10, 'losses': 22, 'draws': 0, 'round_cap': 0, 'phases': 118} 504.9s
CONTROLLED 5568 addition:Muno:screen_low:with {'battles': 16, 'wins': 16, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 64} 509.7s
CONTROLLED 5600 addition:Muno:screen_low:with {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 128} 513.6s
CONTROLLED 5632 addition:Muno:screen_high:with {'battles': 16, 'wins': 0, 'losses': 16, 'draws': 0, 'round_cap': 0, 'phases': 80} 520.6s
