batch,mode,variant,unit,battles,summons,bodies,hp_damage,structure_damage,friendly_damage,armor_damage,hp_taken,armor_absorbed,blocked_damage,evaded_damage,attacks,landed_hits,melee_hits,kills,regular_kills,monster_kills,deaths,banished,goals,survivors,healing,regeneration,charms,poisons,portals,enemy_banishments,friendly_banishments,structures_built,tower_damage,retargets,first_hit_tick,hit_bodies,mean_first_hit_tick
tumler,mixed,direct_hunt_armor3,Sinodek,38,38,1.0,2.7895,0.5,0.0,1.1579,3.8421,5.0789,0.0,0.0,4.4737,4.4474,4.4474,0.7368,0.4211,0.3158,0.7105,0.0,0.2632,0.0263,0.0,0.2895,0.0,0.0,0.9737,0.0526,0.2632,0.0,0.0,0.0,511.8947,0.9211,555.77
tumler,mixed,direct_hunt_armor3,Sooge,38,38,1.0,6.8947,2.8158,0.9474,7.0789,2.0,2.9211,0.0,0.0,10.6316,10.2368,1.0526,0.7895,0.5,0.2895,0.3947,0.0,0.0,0.6053,0.0,0.0263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.2632,1.0,270.26
tumler,mixed,direct_hunt_armor3,Tumler,38,38,1.0,2.0,0.0526,0.0,3.1316,5.2105,4.0,0.0,3.0526,2.6579,2.6579,2.6579,0.2368,0.0789,0.1579,1.0,0.0,0.0,0.0,0.0,0.2105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1316,213.9474,0.9474,225.83
tumler,mixed,direct_hunt_armor3,Varn,38,38,4.1842,9.3947,0.6579,0.0,5.2632,7.7105,12.0,0.0,0.0,15.4474,15.3158,15.3158,1.8421,1.3158,0.5263,3.7105,0.0,0.4737,0.0,0.0,0.2895,0.0,0.6316,0.0,0.0,0.0,0.0,0.0,0.0,1214.6316,4.1053,295.87
tumler,mixed,direct_hunt_armor3,Vulture,96,192,1.0,4.3698,0.849,0.0,4.0156,3.2448,0.6719,0.0,0.0,9.9583,9.2344,0.875,0.8958,0.4896,0.4062,0.526,0.0104,0.4635,0.0,0.0,0.4896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.9062,0.9896,277.8
tumler,mixed,direct_hunt_armor3,Wright,96,192,1.0,1.9531,0.3698,0.0,0.7969,3.6146,1.4792,0.0,0.0,3.125,3.1198,3.1198,0.3854,0.276,0.1094,0.6615,0.0052,0.3333,0.0,0.0,0.224,0.0,0.0,0.0,0.0,0.0,0.9896,0.0,0.0,379.0938,0.7552,501.97
tumler,squad,direct_hunt,Tumler,144,144,1.0,0.9167,0.0,0.0,0.9444,5.0208,1.0,0.0,3.8333,0.9306,0.9306,0.9306,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9306,210.9097,0.9167,230.08
tumler,squad,direct_hunt_armor3,Tumler,144,144,1.0,1.9097,0.0,0.0,1.0486,5.0,4.0,0.0,3.8333,1.4792,1.4792,1.4792,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9306,230.3681,1.0,230.37
small-buffs,squad,armor1,Dotra,144,144,1.0,6.2847,0.0833,0.0,2.0556,4.8333,2.9931,0.0,0.0,3.7778,3.7778,3.2292,1.1319,1.1319,0.0,0.9375,0.0,0.0625,0.0,0.0,0.0903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.4167,1.0,314.42
small-buffs,squad,armor1,Fyra,144,144,1.0,2.9375,0.0,0.0,1.3472,5.125,2.0,0.0,0.0,2.1736,2.1736,2.1736,0.1319,0.1319,0.0,0.9931,0.0,0.0069,0.0,0.0,0.1389,0.3264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0486,1.0,182.05
